Crash_Year,Crash_Month,County,Crash_Type,Crash_Drug_Use,Crash_Drinking,Crash_Hit_and_Run,Speed_Limit_at_Crash_Site,Total_Motor_Vehicles,Crash
2013,January,Wayne,Other/Unknown,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,35,2,0
2013,January,Wayne,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Hit-and-Run,35,1,0
2013,January,Wayne,Other/Unknown,No Drugs Involved,No Drinking Involved,Hit-and-Run,55,11,0
2013,January,Wayne,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,70,1,1
2013,January,Wayne,Rear-End,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,2,0
2013,January,Wayne,Other/Unknown,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,2,0
2013,January,Wayne,Angle,Drugs Involved,Drinking Involved,Not Hit-and-Run,40,2,0
2013,January,Wexford,Head-On,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,2,0
2013,January,Wexford,Single Motor Vehicle,Drugs Involved,Drinking Involved,Not Hit-and-Run,55,1,0
2013,February,Antrim,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,February,Arenac,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,1,0
2013,February,Arenac,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,1,0
2013,February,Benzie,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,1,0
2013,February,Calhoun,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,1,0
2013,February,Cass,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,February,Charlevoix,Angle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,February,Crawford,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,1,0
2013,February,Eaton,Angle,Drugs Involved,Drinking Involved,Not Hit-and-Run,50,2,0
2013,February,Genesee,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,1,1
2013,February,Grand Traverse,Angle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,February,Gratiot,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,1,0
2013,February,Ionia,Other/Unknown,No Drugs Involved,Drinking Involved,Not Hit-and-Run,70,2,0
2013,February,Jackson,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,1,0
2013,February,Kalamazoo,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,1,0
2013,February,Kalamazoo,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,35,1,0
2013,February,Kalamazoo,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,45,1,0
2013,February,Kent,Angle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,2,0
2013,February,Lapeer,Single Motor Vehicle,Drugs Involved,Drinking Involved,Not Hit-and-Run,55,1,0
2013,February,Livingston,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,1,0
2013,February,Macomb,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,1,0
2013,February,Macomb,Head-On - Left Turn,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,45,2,0
2013,February,Macomb,Angle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,50,2,0
2013,February,Macomb,Head-On,Drugs Involved,No Drinking Involved,Not Hit-and-Run,50,4,0
2013,February,Monroe,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,1,0
2013,February,Monroe,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,45,2,0
2013,February,Monroe,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,45,1,0
2013,February,Monroe,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,1,0
2013,February,Oakland,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,1,0
2013,February,Oakland,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,40,2,0
2013,February,Oakland,Single Motor Vehicle,Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,1,1
2013,February,Ogemaw,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,1,0
2013,February,Osceola,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,February,Otsego,Angle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,February,Roscommon,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,1,0
2013,February,Roscommon,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,45,1,0
2013,February,Saginaw,Angle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,February,Sanilac,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,February,Tuscola,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,1,0
2013,February,Tuscola,Head-On,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,2,0
2013,February,Van Buren,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,February,Van Buren,Angle,Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,3,0
2013,February,Wayne,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,25,1,0
2013,February,Wayne,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,40,1,0
2013,February,Wayne,Other/Unknown,No Drugs Involved,No Drinking Involved,Hit-and-Run,35,2,0
2013,February,Wayne,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,50,1,0
2013,February,Wayne,Angle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,35,2,0
2013,February,Wayne,Head-On,Drugs Involved,Drinking Involved,Not Hit-and-Run,25,2,0
2013,March,Barry,Single Motor Vehicle,Drugs Involved,Drinking Involved,Not Hit-and-Run,55,1,0
2013,March,Bay,Single Motor Vehicle,Drugs Involved,Drinking Involved,Not Hit-and-Run,70,1,0
2013,March,Berrien,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,1,0
2013,March,Berrien,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,1,0
2013,March,Calhoun,Angle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,45,2,0
2013,March,Calhoun,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,1,0
2013,March,Cass,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,1,0
2013,March,Cass,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,March,Chippewa,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,March,Crawford,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,1,0
2013,March,Delta,Angle,Drugs Involved,Drinking Involved,Not Hit-and-Run,55,3,0
2013,March,Genesee,Angle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,45,3,0
2013,March,Gladwin,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,March,Jackson,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,1,0
2013,March,Jackson,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,March,Jackson,Angle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,March,Jackson,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,1,0
2013,March,Kent,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,25,1,0
2013,March,Kent,Angle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,45,2,0
2013,March,Kent,Angle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,2,0
2013,March,Livingston,Single Motor Vehicle,Drugs Involved,No Drinking Involved,Not Hit-and-Run,45,1,0
2013,March,Livingston,Single Motor Vehicle,Drugs Involved,Drinking Involved,Not Hit-and-Run,30,1,0
2013,March,Mackinac,Single Motor Vehicle,Drugs Involved,Drinking Involved,Not Hit-and-Run,35,1,0
2013,March,Macomb,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,40,1,0
2013,March,Macomb,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,70,1,0
2013,March,Macomb,Angle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,35,2,0
2013,March,Macomb,Single Motor Vehicle,Drugs Involved,Drinking Involved,Not Hit-and-Run,35,1,0
2013,March,Macomb,Single Motor Vehicle,Drugs Involved,Drinking Involved,Not Hit-and-Run,40,1,0
2013,March,Monroe,Angle,Drugs Involved,No Drinking Involved,Not Hit-and-Run,35,4,0
2013,March,Oakland,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,40,1,0
2013,March,Oakland,Sideswipe - Opposite Directions,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,50,3,0
2013,March,Oakland,Rear-End,Drugs Involved,No Drinking Involved,Hit-and-Run,50,3,0
2013,March,Oakland,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,35,1,0
2013,March,Oakland,Sideswipe - Opposite Directions,Drugs Involved,Drinking Involved,Not Hit-and-Run,45,3,0
2013,March,Ottawa,Angle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,March,Ottawa,Other/Unknown,No Drugs Involved,Drinking Involved,Hit-and-Run,45,2,0
2013,March,Roscommon,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,1,0
2013,March,Saginaw,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,40,2,0
2013,March,Saginaw,Angle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,45,2,0
2013,March,Saginaw,Head-On,Drugs Involved,No Drinking Involved,Not Hit-and-Run,40,3,0
2013,March,Tuscola,Angle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,March,Van Buren,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,1,0
2013,March,Washtenaw,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,45,2,0
2013,March,Washtenaw,Sideswipe - Same Direction,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,2,0
2013,March,Washtenaw,Angle,Drugs Involved,No Drinking Involved,Not Hit-and-Run,45,2,0
2013,March,Washtenaw,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,45,1,0
2013,March,Wayne,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,25,1,0
2013,March,Wayne,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,40,1,0
2013,March,Wayne,Rear-End,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,45,4,0
2013,March,Wayne,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Hit-and-Run,25,1,0
2013,March,Wayne,Other/Unknown,No Drugs Involved,No Drinking Involved,Hit-and-Run,55,2,0
2013,March,Wayne,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,1,0
2013,March,Wayne,Single Motor Vehicle,Drugs Involved,Drinking Involved,Not Hit-and-Run,70,1,0
2013,April,Berrien,Angle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,45,2,0
2013,April,Berrien,Rear-End,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,45,3,0
2013,April,Cass,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,April,Chippewa,Single Motor Vehicle,Drugs Involved,Drinking Involved,Not Hit-and-Run,55,1,0
2013,April,Delta,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,1,0
2013,April,Genesee,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,40,2,0
2013,April,Genesee,Other/Unknown,No Drugs Involved,Drinking Involved,Hit-and-Run,30,1,0
2013,April,Hillsdale,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,April,Jackson,Rear-End,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,2,0
2013,April,Kalamazoo,Rear-End,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,40,2,0
2013,April,Kalkaska,Angle,Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,April,Kalkaska,Single Motor Vehicle,Drugs Involved,Drinking Involved,Not Hit-and-Run,55,1,0
2013,April,Kent,Rear-End - Left Turn,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,April,Kent,Single Motor Vehicle,Drugs Involved,Drinking Involved,Not Hit-and-Run,70,1,0
2013,April,Lapeer,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,1,0
2013,April,Lapeer,Angle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,50,2,0
2013,April,Livingston,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,1,0
2013,April,Livingston,Head-On,Drugs Involved,No Drinking Involved,Not Hit-and-Run,45,2,0
2013,April,Mackinac,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,April,Macomb,Other/Unknown,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,2,0
2013,April,Macomb,Other/Unknown,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,3,0
2013,April,Macomb,Single Motor Vehicle,Drugs Involved,No Drinking Involved,Not Hit-and-Run,40,1,0
2013,April,Macomb,Single Motor Vehicle,Drugs Involved,Drinking Involved,Not Hit-and-Run,50,1,0
2013,April,Monroe,Head-On,Drugs Involved,Drinking Involved,Not Hit-and-Run,55,2,0
2013,April,Montmorency,Single Motor Vehicle,Drugs Involved,No Drinking Involved,Not Hit-and-Run,45,1,0
2013,April,Oakland,Head-On,No Drugs Involved,No Drinking Involved,Hit-and-Run,45,5,0
2013,April,Oakland,Rear-End,Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,2,0
2013,April,Ottawa,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,1,0
2013,April,Ottawa,Single Motor Vehicle,Drugs Involved,Drinking Involved,Not Hit-and-Run,45,1,0
2013,April,Saginaw,Angle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,April,Saginaw,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,50,1,0
2013,April,St. Clair,Sideswipe - Opposite Directions,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,2,0
2013,April,St. Joseph,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,1,0
2013,April,St. Joseph,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,1,0
2013,April,Washtenaw,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,1,0
2013,April,Washtenaw,Sideswipe - Same Direction,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,2,0
2013,April,Washtenaw,Single Motor Vehicle,Drugs Involved,Drinking Involved,Not Hit-and-Run,45,1,0
2013,April,Wayne,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,30,1,1
2013,April,Wayne,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,1,0
2013,April,Wayne,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,1,0
2013,April,Wayne,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,40,2,0
2013,April,Wayne,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,45,1,0
2013,April,Wayne,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,1,0
2013,April,Wayne,Head-On,No Drugs Involved,Drinking Involved,Not Hit-and-Run,30,2,0
2013,April,Wayne,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Hit-and-Run,35,1,0
2013,April,Wayne,Other/Unknown,Drugs Involved,Drinking Involved,Not Hit-and-Run,45,2,0
2014,January,Barry,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,1,0
2014,January,Bay,Rear-End,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,3,0
2014,January,Cheboygan,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,1,0
2014,January,Chippewa,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,1,0
2014,January,Clinton,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,35,1,0
2014,January,Eaton,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2014,January,Genesee,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,30,1,0
2014,January,Genesee,Angle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,50,2,0
2014,January,Huron,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2014,January,Huron,Other/Unknown,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2014,January,Iron,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2014,January,Jackson,Head-On,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,2,0
2014,January,Lenawee,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2014,January,Livingston,Head-On,No Drugs Involved,Drinking Involved,Not Hit-and-Run,35,2,0
2014,January,Macomb,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Hit-and-Run,70,1,0
2014,January,Midland,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,2,0
2014,January,Monroe,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,45,1,0
2014,January,Monroe,Sideswipe - Opposite Directions,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,25,2,0
2014,January,Monroe,Head-On - Left Turn,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,2,0
2014,January,Muskegon,Head-On,Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2014,January,Oakland,Angle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,2,0
2014,January,Otsego,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,1
2014,January,Ottawa,Head-On,No Drugs Involved,Drinking Involved,Not Hit-and-Run,45,2,0
2014,January,Saginaw,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2014,January,Sanilac,Other/Unknown,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2014,January,Wayne,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,35,1,1
2014,January,Wayne,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,45,1,0
2014,January,Wayne,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,1,1
2014,January,Wayne,Other/Unknown,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,35,2,0
2014,January,Wayne,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Hit-and-Run,35,1,1
2014,January,Wayne,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Hit-and-Run,40,1,0
2014,January,Wayne,Single Motor Vehicle,Drugs Involved,No Drinking Involved,Hit-and-Run,25,1,0
2014,January,Wayne,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,40,1,0
2014,January,Wayne,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,45,1,0
2014,January,Wayne,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,1,0
2014,February,Allegan,Angle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,35,2,0
2014,February,Allegan,Sideswipe - Same Direction,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,2,0
2014,February,Barry,Angle,Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2014,February,Bay,Rear-End,Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,3,0
2014,February,Benzie,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2014,February,Branch,Rear-End,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,3,0
2014,February,Calhoun,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,50,1,0
2014,February,Eaton,Angle,Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2014,February,Genesee,Angle,Drugs Involved,No Drinking Involved,Not Hit-and-Run,25,2,0
2014,February,Genesee,Head-On,No Drugs Involved,Drinking Involved,Not Hit-and-Run,70,2,0
2014,February,Gratiot,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2014,February,Hillsdale,Angle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2014,February,Houghton,Single Motor Vehicle,Drugs Involved,No Drinking Involved,Not Hit-and-Run,50,1,0
